"","index_ft","i_ft","norm_i_ft","ratio_dialogue_text","i_do","norm_i_do","i_nd","norm_i_nd","mean_literary_rating","genre_name","genre_id"
"1","Abdolah_Koning 2",0.265687583444593,0.297437240545623,0.411975802317236,0.490147783251232,0.594874481091247,0,0,5.23214285714285,"Fiction","Fiction"
"2","Abdolah_Kraai 17",0.608177172061329,0.908864139198402,0.13387297633873,0.3875,1.44726744186046,0.641732283464567,0.370460836536339,5.90796019900497,"Fiction","Fiction"
"3","Adler-Olsen_VrouwInKooi 33",0.175421209117939,0.191310511115233,0.447387555832554,0.342359767891683,0.382621022230466,0,0,3.76190476190476,"Suspense","Suspense"
"4","Ammaniti_JijEnIk 16",0.500327868852459,0.5922643726766,0.281318452070512,0.465065502183406,0.826581937232539,0.514499532273152,0.357946808120661,5.61302681992337,"Fiction","Fiction"
"5","Baantjer_MesInRug 23",0.316685584562997,0.196956082666052,0.58729662077597,0.462686567164179,0.393912165332103,0,0,2.92086330935251,"Suspense","Suspense"
"6","Bakker_Omweg 40",0.149775784753363,0.506642888876687,0.252776635129576,0.512269938650307,1.01328577775337,0,0,6.18867924528301,"Fiction","Fiction"
"7","Baldacci_NietsDanWaarheid 28",0.19041769041769,0.436963779301432,0.283323064284247,0.495207667731629,0.873927558602865,0,0,3.87619047619047,"Suspense","Suspense"
"8","Beijnum_SoortFamilie 96",0.0828343313373253,1.05535767220852,0.111672051696284,0.471264367816092,2.11003720562865,0.00120481927710843,0.00067813878838838,5.76338514680483,"Fiction","Fiction"
"9","Bernlef_GeleendeLevens 31",0.271407837445573,0.71677663008006,0.162802470385745,0.423312883435583,1.30008126545188,0.223484848484848,0.133471994708239,6.24557956777996,"Fiction","Fiction"
"10","Bezaz_Vinexvrouwen 23",0.549694189602447,0.546974046181315,0.363984278030616,0.445328031809145,0.611740751851494,0.613382899628253,0.482207340511136,3.5364238410596,"Fiction","Fiction"
"11","Brown_AllesWatWij 82",0.142728904847397,0.511866887373162,0.251316855753647,0.514563106796116,1.02373377474632,0,0,4.23076923076923,"Fiction","Fiction"
"12","Clancy_OgenVanVijand 116",0.262971698113208,0.453725175908576,0.285552466275358,0.516355140186916,0.904133567680335,0.004739336492891,0.00331678413681641,3.49230769230769,"Suspense","Suspense"
"13","Coben_Levenslijn 79",0.221995926680244,0.273186463956746,0.378941908713693,0.411428571428571,0.542864964217277,0.00435729847494553,0.00350796369621471,3.89513108614232,"Suspense","Suspense"
"14","Cussler_Duivelsadem 176",0.183361629881155,0.931534994654883,0.157040816326531,0.584699453551913,1.86161619389498,0.00245098039215686,0.0014537954147886,3.37209302325581,"Suspense","Suspense"
"15","Evans_Vergeving 86",0.116,0.628374008947159,0.164043336058872,0.412322274881517,1.25674801789432,0,0,4.15767634854771,"Fiction","Fiction"
"16","Fallon_OpManAf 29",0.133268482490272,0.485209043726069,0.219832001639008,0.425867507886435,0.968620366259875,0.00280504908835905,0.00179772119226372,2.9074074074074,"Romantic","Romantic"
"17","Forbes_SterfMetMij 67",0.130993150684932,0.261021960105669,0.326368362042605,0.34075723830735,0.522043920211338,0,0,3.8904109589041,"Suspense","Suspense"
"18","Gastel_ZwaarVerliefd! 43",0.595191682910981,0.577210053904441,0.361034447510988,0.459459459459459,0.636309724220257,0.662109375,0.518110383588626,2.70285714285714,"Romantic","Romantic"
